Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.cz.terminology.json	28696	-	0	0	0	0	0	0	6	12	0	0	0	0	2	0	0	1	0	0	0	401	450	0	0	0	5	0	3
fsh-generated/resources/CodeSystem-NCLPMAT.json	607	2	0	0	2	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	25	117	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-NCLPPOL.json	621	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	30	91	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ORPHAdisease.json	913	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	24	79	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-absent-unknown-uv-ips-cz.json	4371	1	0	0	0	0	0	0	0	20	0	0	0	0	2	0	0	0	0	0	0	65	84	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-administrative-gender-cz.json	1631	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	26	74	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-allergy-intolerance-category-cz.json	2004	1	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	36	66	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-allergy-intolerance-criticality-cz.json	1461	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	33	73	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-coverage-selfpay-cz.json	929	1	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	18	67	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-dlp-atc.json	684	0	0	0	0	0	0	0	1	2	0	0	0	0	2	0	0	0	0	0	0	14	61	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-dlp-formy.json	639	1	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	19	67	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-dlp-lecivelatky.json	1092	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	16	56	0	0	0	0	0	1
fsh-generated/resources/CodeSystem-dlp-lecivepripravky.json	1064	1	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	17	65	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-drzar.json	7122	1	0	0	0	0	0	0	1	9	0	0	0	0	1	0	0	0	0	0	0	79	104	0	0	0	3	0	0
fsh-generated/resources/CodeSystem-healthInsuranceCompanyCode.json	3997	1	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	53	69	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-mkn-10.json	886	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	15	50	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-nrzp-povolani.json	5319	1	0	0	0	0	0	0	1	6	0	0	0	0	1	0	0	0	0	0	0	70	73	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-nzis-NahradyZaZdravotniPeci.json	4525	1	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	1	0	0	0	48	71	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-nzis-OdbornostVZP.json	303117	36	0	0	1	0	0	0	33	68	0	0	0	0	2	0	0	5	0	0	0	1274	576	0	0	0	27	0	8
fsh-generated/resources/CodeSystem-v2-0131-cz.json	2702	1	0	0	0	0	0	0	1	4	0	0	0	0	1	0	0	0	0	0	0	37	41	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-v3-ActCode-cz.json	3564	0	0	0	0	0	0	0	0	130	0	0	0	0	1	0	0	0	0	0	0	47	42	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-v3-NullFlavor-cz.json	6790	1	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	71	47	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-v3-RoleCode-cz.json	11799	1	0	0	0	0	0	0	1	29	0	0	1	0	1	0	0	0	0	0	0	129	79	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-vzp-smluvni-odbornost.json	58609	6	0	0	0	0	0	0	4	14	0	0	0	0	1	0	0	1	0	0	0	393	196	0	0	0	7	0	1
fsh-generated/resources/ValueSet-AllergenWithExceptions.json	2104	1	0	0	0	0	0	0	1	48	0	0	0	0	1	0	0	0	0	0	0	24	1053	0	0	0	0	0	0
fsh-generated/resources/ValueSet-MedicalDeviceWithExceptions.json	1713	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	22	187	0	0	0	1	0	0
fsh-generated/resources/ValueSet-OP-NS.json	34078	3	0	0	1	0	0	0	2	36	0	0	0	0	1	0	0	0	0	0	0	188	129	0	0	0	2	0	1
fsh-generated/resources/ValueSet-administrative-gender-cz.json	1011	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	21	43	0	0	0	1	0	0
fsh-generated/resources/ValueSet-allergy-intolerance-category-cz.json	1055	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	16	51	0	0	0	0	0	0
fsh-generated/resources/ValueSet-allergy-intolerance-criticality-cz.json	1111	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	21	58	0	0	0	0	0	0
fsh-generated/resources/ValueSet-condition-cz.json	1349	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	22	1214	0	0	0	0	0	0
fsh-generated/resources/ValueSet-contact-and-relationship-cz.json	1023	1	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	15	66	0	0	0	0	0	0
fsh-generated/resources/ValueSet-contactrole-cz.json	1451	0	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	30	43	0	0	0	1	0	0
fsh-generated/resources/ValueSet-cz-coverage-type.json	1474	1	0	0	0	0	0	0	0	5	0	0	0	0	2	0	0	0	0	0	0	30	46	0	0	0	0	0	0
fsh-generated/resources/ValueSet-cz-lab-species-type.json	2585	0	0	0	0	0	0	0	1	5	0	0	0	0	2	0	0	1	0	0	0	34	45	0	0	0	0	0	0
fsh-generated/resources/ValueSet-cz-logo-mime-types.json	1193	1	0	0	0	0	0	0	0	7	0	0	0	0	2	0	0	0	0	0	0	20	47	0	0	0	1	0	0
